SN,Region,Site ID,Site Class,Snag Category,Sub Category,Remarks,Snag Opened By,Snag Severity,Visit Date,Closing Date,Status,SnagFlag,Open Month,Closed Month
8448,AUH,AUH2480,Class C,CIVIL,"MAIN GATE LOCK, HINGES, AND ALIGNMENT NEED REPAIRING",Main gate closing rod short,Girish Dongra Kotharkar,MAJOR,24/12/2024,31/01/2026,Closed,CLOSED_UNIQUE,December-24,January-26
8446,AUH,AUH2480,Class C,CIVIL,SHELTER ROOF REPAIR,Shelter roof panel minor start of rusted,Girish Dongra Kotharkar,MINOR,24/12/2024,29/01/2026,Closed,CLOSED_UNIQUE,December-24,January-26
46604,AUH,AUH2480,Class C,CIVIL,SHELTER WALL NEEDS REPAINTING,Shelter Rusty outside,Ghaias Uddin Babar,MINOR,04/08/2025,31/01/2026,Closed,CLOSED_UNIQUE,August-25,January-26
8445,AUH,AUH2480,Class C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,Structure foundation has epoxy paint peeling off,Girish Dongra Kotharkar,MINOR,24/12/2024,31/01/2026,Closed,CLOSED_UNIQUE,December-24,January-26
46609,AUH,AUH2480,Class C,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,tower pain palling off,Ghaias Uddin Babar,MINOR,04/08/2025,29/01/2026,Closed,CLOSED_UNIQUE,August-25,January-26
8451,AUH,AUH2480,Class C,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,Gent FACP Battery faulty (required - 12V 2.3AH 2PC                                                         not replace due to out of stock in wh),Girish Dongra Kotharkar,MINOR,24/12/2024,31/10/2025,Closed,CLOSED_UNIQUE,December-24,October-25
46607,AUH,AUH2480,Class C,TI,TI - OTHERS,"2,RTN Fan Clane",Ghaias Uddin Babar,MINOR,04/08/2025,04/08/2025,Closed,CLOSED_UNIQUE,August-25,August-25
46608,AUH,AUH2480,Class C,TI,TI - OTHERS,wether proofing done,Ghaias Uddin Babar,MINOR,04/08/2025,04/08/2025,Closed,CLOSED_UNIQUE,August-25,August-25
110276,AUH,AUH2481,Class C,AWL,AWL BULB FAULTY,AWL Lamp Broken ,Ghaias Uddin Babar,MINOR,02/06/2026,01/08/2026,Closed,CLOSED_UNIQUE,June-26,August-26
110272,AUH,AUH2481,Class C,CIVIL,BOUNDARY WALL DAMAGED,Boundary wall damage near main gate,Ghaias Uddin Babar,MINOR,02/06/2026,,Open,KEEP_OPEN,June-26,
110273,AUH,AUH2481,Class C,CIVIL,CIVIL - OTHERS,"Structure Foundation Anchor bolt washers and caps missing, no greased petro tape on bolts and not  available in all bolts 6 thread pitchs",Ghaias Uddin Babar,MINOR,02/06/2026,,Open,KEEP_OPEN,June-26,
61118,AUH,AUH2481,Class C,CIVIL,CIVIL - OTHERS,"Structure Foundation Anchor bolt caps missing, no greased petro tape on bolts and not  available in all bolts 6 thread pitchs",Mohsinuddin Mohammad,MINOR,23/09/2025,02/06/2026,Closed,CLOSED_UNIQUE,September-25,June-26
110277,AUH,AUH2481,Class C,CIVIL,SHELTER WALL NEEDS REPAINTING,Shelter outside rusty,Ghaias Uddin Babar,MINOR,02/06/2026,,Open,KEEP_OPEN,June-26,
110274,AUH,AUH2481,Class C,TI,TI - OTHERS,"1,RTN Fan Clean",Ghaias Uddin Babar,MINOR,02/06/2026,02/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
110275,AUH,AUH2481,Class C,TI,TI - OTHERS,weather proofing ok,Ghaias Uddin Babar,MINOR,02/06/2026,02/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
21593,AUH,AUH2482,Class C,AIR CONDITIONING,AC CONTACTOR FAULTY,Bard 3ton ACU-1 3P COIL 24VAC 1PCS found Faulty/some times working but intermittently (not replace due to out of stock in wh as request date),Girish Dongra Kotharkar,MINOR,03/04/2025,19/06/2025,Closed,CLOSED_UNIQUE,April-25,June-25
127097,AUH,AUH2482,Class C,AIR CONDITIONING,OUTDOOR AC CONDENSER MOTOR FAULTY,A/C 1 condensor fan motor faulty(Bard 3T),Mohsinuddin Mohammad,MAJOR,30/07/2026,,Open,KEEP_OPEN,July-26,
69921,AUH,AUH2482,Class C,CIVIL,CABLE TRAY DAMAGED,Cable tray foundation damage,Raja Gurusamy,MINOR,23/10/2025,,Open,KEEP_OPEN,October-25,
127098,AUH,AUH2482,Class C,CIVIL,SHELTER BASE NEEDS REPAIRING,shelter foundation minor cracks,Mohsinuddin Mohammad,MINOR,30/07/2026,,Open,KEEP_OPEN,July-26,
127094,AUH,AUH2482,Class C,CIVIL,SHELTER ROOF WATERPROOFING,shelter minor rusty and has water lekage issue during rain,Mohsinuddin Mohammad,MINOR,30/07/2026,,Open,KEEP_OPEN,July-26,
21592,AUH,AUH2482,Class C,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,FE Safety Seal damaged (Replaced),Girish Dongra Kotharkar,MINOR,03/04/2025,03/04/2025,Closed,CLOSED_UNIQUE,April-25,April-25
127095,AUH,AUH2482,Class C,SHELTER,INTERNAL LIGHTING BULB FAULTY,shelter internal lighting total faulty need to replace,Mohsinuddin Mohammad,MINOR,30/07/2026,,Open,KEEP_OPEN,July-26,
21591,AUH,AUH2482,Class C,SHELTER,SITE ID DAMAGED,Site ID Tag damaged (Replaced),Girish Dongra Kotharkar,MINOR,03/04/2025,03/04/2025,Closed,CLOSED_UNIQUE,April-25,April-25
37370,AUH,AUH2483,Class C,AIR CONDITIONING,AC LEAKAGE,R22 Gas refiled 3 kg 0psi AC 1 BARD 3 TON,Raja Gurusamy,MAJOR,30/06/2025,30/06/2025,Closed,CLOSED_UNIQUE,June-25,June-25
37369,AUH,AUH2483,Class C,CIVIL,SHELTER BASE NEEDS REPAIRING,Shalter foundation minor damage,Raja Gurusamy,MINOR,30/06/2025,08/12/2025,Closed,CLOSED_UNIQUE,June-25,December-25
80013,AUH,AUH2483,Class C,CIVIL,SHELTER WALL NEEDS REPAINTING,Shelter out side panel rusted,Girish Dongra Kotharkar,MINOR,08/12/2025,,Open,KEEP_OPEN,December-25,
80015,AUH,AUH2483,Class C,SHELTER,INTERNAL LIGHTING BULB FAULTY,Shelter tube light full set choke (ballast) melting 1PCs ( Tubelight-Full Set-2x36W light fitting ),Girish Dongra Kotharkar,MINOR,08/12/2025,,Open,KEEP_OPEN,December-25,
80016,AUH,AUH2483,Class C,SHELTER,SITE ID DAMAGED,Site ID Tag damaged  (Replaced),Girish Dongra Kotharkar,MINOR,08/12/2025,08/12/2025,Closed,CLOSED_UNIQUE,December-25,December-25
14035,AUH,AUH2484,Class B,AIR CONDITIONING,AC LEAKAGE,Bard 3ton ACU-1 Found gas low 25Psi (25Psi REFILLING R22),Girish Dongra Kotharkar,MAJOR,07/02/2025,07/02/2025,Closed,CLOSED_UNIQUE,February-25,February-25
109504,AUH,AUH2484,Class B,BATTERY,TEMPERATURE SENSOR,TEMPERATURE SENSOR VERTIVE CARD FAULTY 30000E3,Raja Gurusamy,MAJOR,22/05/2026,21/08/2026,Closed,CLOSED_UNIQUE,May-26,August-26
109503,AUH,AUH2484,Class B,CIVIL,CABLE TRAY DAMAGED,Cable tray Foundation damag,Raja Gurusamy,MINOR,22/05/2026,,Open,KEEP_OPEN,May-26,
14033,AUH,AUH2484,Class B,CIVIL,CIVIL - OTHERS,Gantry post base has major damaged,Girish Dongra Kotharkar,MINOR,07/02/2025,25/08/2025,Closed,CLOSED_UNIQUE,February-25,August-25
31397,AUH,AUH2484,Class B,CIVIL,SHELTER BASE NEEDS REPAIRING,Gantry post base has major damaged,Girish Dongra Kotharkar,MINOR,31/05/2025,25/08/2025,Closed,CLOSED_UNIQUE,May-25,August-25
133639,AUH,AUH2484,Class B,CIVIL,SHELTER ROOF REPAIR,Shalter roof minor damage and rusty,Raja Gurusamy,MAJOR,21/08/2026,,Open,KEEP_OPEN,August-26,
109505,AUH,AUH2484,Class B,FIRE SYSTEMS,FIRE ALARM CONTROL PANEL FAULTY,FIRE ALARM CONTROL PANEL FAULTY SHLIED,Raja Gurusamy,MAJOR,22/05/2026,20/06/2026,Closed,CLOSED_UNIQUE,May-26,June-26
14034,AUH,AUH2484,Class B,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,FE Safety Seal damaged (Replaced),Girish Dongra Kotharkar,MINOR,07/02/2025,07/02/2025,Closed,CLOSED_UNIQUE,February-25,February-25
53172,AUH,AUH2484,Class B,MDB,MDB - OTHERS,Hazard sticker,Raja Gurusamy,MINOR,26/08/2025,26/08/2025,Closed,CLOSED_UNIQUE,August-25,August-25
133642,AUH,AUH2484,Class B,MDB,MDB - OTHERS,Hazard Sticker,Raja Gurusamy,MINOR,21/08/2026,21/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
133643,AUH,AUH2484,Class B,OTHERS,OTHERS,FIRE ALARM CONTROL PANEL FAULTY SHLIED,Raja Gurusamy,MINOR,21/08/2026,21/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
133641,AUH,AUH2484,Class B,SHELTER,SITE ID DAMAGED,Du Sticker,Raja Gurusamy,MINOR,21/08/2026,21/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
94188,AUH,AUH2484,Class B,TI,TI - OTHERS,"2,RTN Fan Clane",Ghaias Uddin Babar,MINOR,19/02/2026,19/02/2026,Closed,CLOSED_UNIQUE,February-26,February-26
113926,AUH,AUH2485,Class C,CIVIL,SHELTER PADLOCK HOOK IS CUT,shelter padlock hook is cut,Mohsinuddin Mohammad,MAJOR,16/06/2026,,Open,KEEP_OPEN,June-26,
3839,AUH,AUH2485,Class C,CIVIL,SHELTER ROOF REPAIR,shelter has water lekage marks inside,Mohsinuddin Mohammad,MINOR,01/10/2024,23/10/2025,Closed,CLOSED_UNIQUE,October-24,October-25
113923,AUH,AUH2485,Class C,CIVIL,SHELTER ROOF WATERPROOFING,shelter rusty and water lekage marks inside,Mohsinuddin Mohammad,MINOR,16/06/2026,,Open,KEEP_OPEN,June-26,
113924,AUH,AUH2485,Class C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,shelter Foundation epoxy paint peeling off,Mohsinuddin Mohammad,MINOR,16/06/2026,,Open,KEEP_OPEN,June-26,
22785,AUH,AUH2485,Class C,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,Gent FACP Battery faulty (required - 12V 2.3AH 2PC not replace due to out of stock in wh),Girish Dongra Kotharkar,MINOR,12/04/2025,17/12/2025,Closed,CLOSED_UNIQUE,April-25,December-25
22786,AUH,AUH2485,Class C,FIRE SYSTEMS,FIRE ALARM SMOKE DETECTOR SENSOR FAULTY,GENT FACP heat detector front part missing (found in floor it has been fixed now),Girish Dongra Kotharkar,MINOR,12/04/2025,12/04/2025,Closed,CLOSED_UNIQUE,April-25,April-25
113922,AUH,AUH2485,Class C,OTHERS,PEST CONTROL,Rodent trap damaged on site,Mohsinuddin Mohammad,MINOR,16/06/2026,,Open,KEEP_OPEN,June-26,
22787,AUH,AUH2485,Class C,SHELTER,SITE ID DAMAGED,Site ID Tag damaged (Replaced),Girish Dongra Kotharkar,MINOR,12/04/2025,12/04/2025,Closed,CLOSED_UNIQUE,April-25,April-25
90694,AUH,AUH2488,Class C,AWL,AWL CONTROL PANEL FAULTY,Awl card faulty 186c  tech,Raja Gurusamy,MINOR,29/01/2026,,Open,KEEP_OPEN,January-26,
40545,AUH,AUH2488,Class C,BATTERY,TEMPERATURE SENSOR,TEMPERATURE SENSOR NOT WORKING,Raja Gurusamy,MINOR,10/07/2025,29/01/2026,Closed,CLOSED_UNIQUE,July-25,January-26
90695,AUH,AUH2488,Class C,DC SYSTEM,DC SYSTEM - OTHERS,Rectfiber battery tem cable removed to back panel instelled IBT1,Raja Gurusamy,MINOR,29/01/2026,29/01/2026,Closed,CLOSED_UNIQUE,January-26,January-26
40546,AUH,AUH2488,Class C,OTHERS,OTHERS,Spray-silver paint,Raja Gurusamy,MINOR,10/07/2025,10/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
40544,AUH,AUH2488,Class C,SHELTER,SITE ID DAMAGED,DU STICKER,Raja Gurusamy,MINOR,10/07/2025,10/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
98850,AUH,AUH2489,Class C,CIVIL,SHELTER BASE NEEDS REPAIRING,Shelter foundation damage,Muhammad Sultan Safdar Hussain,MINOR,08/04/2026,,Open,KEEP_OPEN,April-26,
46342,AUH,AUH2489,Class C,CIVIL,SHELTER ROOF REPAIR,shelter started off rusty,Mohsinuddin Mohammed,MINOR,01/08/2025,08/04/2026,Closed,CLOSED_UNIQUE,August-25,April-26
14288,AUH,AUH2489,Class C,SHELTER,SITE ID DAMAGED,DU Sticker,Raja Gurusamy,MINOR,08/02/2025,08/02/2025,Closed,CLOSED_UNIQUE,February-25,February-25
46340,AUH,AUH2490,Class C,BATTERY,TEMPERATURE SENSOR,Battery Temperature sensor not working,Mohsinuddin Mohammed,MINOR,01/08/2025,08/04/2026,Closed,CLOSED_UNIQUE,August-25,April-26
1991,AUH,AUH2490,Class C,CIVIL,BOUNDARY WALL DAMAGED,Fence foundation has epoxy paint peeling off,Muhammad Sultan,MINOR,20/08/2024,01/08/2025,Closed,CLOSED_UNIQUE,August-24,August-25
98854,AUH,AUH2490,Class C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,SUNSHADE BASE has epoxy paint peeling off,Muhammad Sultan Safdar Hussain,MINOR,08/04/2026,,Open,KEEP_OPEN,April-26,
9020,AUH,AUH2490,Class C,DC SYSTEM,RECTIFIER MODULE FAULTY,Delta DPR2000 rectifier one module is faulty,Muhammad Sultan,MINOR,03/01/2025,03/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
9024,AUH,AUH2490,Class C,MDB,LABELLING MISSING,Power DB Danger sticker missing 415V,Muhammad Sultan,MINOR,03/01/2025,03/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
2421,AUH,AUH2491,Class C,AIR CONDITIONING,AC FILTER REPLACED,AC 1 AC2 Filter damage  paper filter,Raja Gurusamy,MINOR,29/08/2024,24/09/2025,Closed,CLOSED_UNIQUE,August-24,September-25
2420,AUH,AUH2491,Class C,AIR CONDITIONING,AIR CONDITIONING - OTHERS,AC 1 Blower motor cable damage 8 M Requied,Raja Gurusamy,MINOR,29/08/2024,24/09/2025,Closed,CLOSED_UNIQUE,August-24,September-25
131387,AUH,AUH2491,Class C,CIVIL,SHELTER ROOF REPAIR,Shalter minor rusty,Raja Gurusamy,MINOR,13/08/2026,,Open,KEEP_OPEN,August-26,
2419,AUH,AUH2491,Class C,EXTERNAL ALARMS,NOT WORKING,AWL alalrms not repoting need laptop palace acces site,Raja Gurusamy,MINOR,29/08/2024,24/09/2025,Closed,CLOSED_UNIQUE,August-24,September-25
2422,AUH,AUH2491,Class C,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,FACB Battery faulty,Raja Gurusamy,MINOR,29/08/2024,24/09/2025,Closed,CLOSED_UNIQUE,August-24,September-25
27412,AUH,AUH2492,Class A,AIR CONDITIONING,AC CAPACITOR FAULTY,5UF capacitor Faulty on AC1,Prabat Kumat,MINOR,12/05/2025,12/05/2025,Closed,CLOSED_UNIQUE,May-25,May-25
73471,AUH,AUH2492,Class A,AIR CONDITIONING,AC GAS REFILLING,A/C 2 Refrigerent low,Mohsinuddin Mohammad,MAJOR,10/11/2025,19/11/2025,Closed,CLOSED_UNIQUE,November-25,November-25
84752,AUH,AUH2492,Class A,BATTERY,BATTERY FAULTY,Vertiv Rectifier (Indoor) C&D 200AH Batteries strings#1 Cell#4  has found weak and  strings#2 Cell#1  found  faulty,Girish Dongra Kotharkar,MAJOR,06/01/2026,27/01/2026,Closed,CLOSED_UNIQUE,January-26,January-26
38955,AUH,AUH2492,Class A,BATTERY,LOW CAPACITY,C&D 200AH Batteries additional strings required,Girish Dongra Kotharkar,MAJOR,07/07/2025,16/09/2025,Closed,CLOSED_UNIQUE,July-25,September-25
132583,AUH,AUH2492,Class A,BATTERY,TEMPERATURE SENSOR,Delta Battery Temperature sensor not working,Mohsinuddin Mohammad,MAJOR,18/08/2026,,Open,KEEP_OPEN,August-26,
73470,AUH,AUH2492,Class A,BATTERY,WEAK BATTERY,Delta rectifier Bottom row 2 cell showing weak(C&D 200AH),Mohsinuddin Mohammad,MAJOR,10/11/2025,07/02/2026,Closed,CLOSED_UNIQUE,November-25,February-26
84750,AUH,AUH2492,Class A,CIVIL,SHELTER ROOF REPAIR,Shelter roof side panel totally rusted and corrision,Girish Dongra Kotharkar,MAJOR,06/01/2026,01/04/2026,Closed,CLOSED_UNIQUE,January-26,April-26
55392,AUH,AUH2492,Class A,CIVIL,SHELTER ROOF WATERPROOFING,shelter started off rusty and damaged,Mohsinuddin Mohammad,MAJOR,03/09/2025,08/01/2026,Closed,CLOSED_UNIQUE,September-25,January-26
132584,AUH,AUH2492,Class A,CIVIL,SHELTER STEP NEEDS REPAIRING,shelter step damaged and paint peeling,Mohsinuddin Mohammad,MINOR,18/08/2026,,Open,KEEP_OPEN,August-26,
27405,AUH,AUH2492,Class A,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,FE Safety Seal Used One Pcs,Prabat Kumat,MINOR,12/05/2025,12/05/2025,Closed,CLOSED_UNIQUE,May-25,May-25
38956,AUH,AUH2492,Class A,MDB,MDB - OTHERS,MDB partition is required to separate section 1 ELCB used rectifier and ACU's and section 2 ELCB used sockes/tubelights etc. (note- power source feed from etisalat shelter ins die of DB),Girish Dongra Kotharkar,MINOR,07/07/2025,18/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
27411,AUH,AUH2492,Class A,MDB,SURGE ARRESTOR FAULTY,MDB Over Voltage Protector L2 Faulty,Prabat Kumat,MAJOR,12/05/2025,29/05/2025,Closed,CLOSED_UNIQUE,May-25,May-25
27407,AUH,AUH2492,Class A,OTHERS,GARBAGE,Grass and Garbage Back side of Shelter,Prabat Kumat,MINOR,12/05/2025,12/05/2025,Closed,CLOSED_UNIQUE,May-25,May-25
38957,AUH,AUH2492,Class A,TI,TI - OTHERS,GSM Antenna weatherproffing checked done and Microwave ODU weatherproffing checked done,Girish Dongra Kotharkar,MINOR,07/07/2025,07/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
33300,AUH,AUH2493,Class C,TI,TI - OTHERS,GSM Antenna weatherproffing checked done,Girish Dongra Kotharkar,MINOR,11/06/2025,11/06/2025,Closed,CLOSED_UNIQUE,June-25,June-25
90834,AUH,AUH2494,Class C,TI,TI - OTHERS,Weather Proofing OK,Ghaias Uddin Babar,MINOR,31/01/2026,31/01/2026,Closed,CLOSED_UNIQUE,January-26,January-26
22842,AUH,AUH2495,Class C,AIR CONDITIONING,AC LEAKAGE,A/C 2 has lekage not visible,Mohsinuddin Mohammad,MAJOR,12/04/2025,31/01/2026,Closed,CLOSED_UNIQUE,April-25,January-26
22843,AUH,AUH2495,Class C,CIVIL,SHELTER STEP NEEDS REPAIRING,shelter step epoxy paint peeling off,Mohsinuddin Mohammad,MINOR,12/04/2025,31/01/2026,Closed,CLOSED_UNIQUE,April-25,January-26
33298,AUH,AUH2495,Class C,TI,TI - OTHERS,GSM Antenna weatherproffing checked done,Girish Dongra Kotharkar,MINOR,11/06/2025,11/06/2025,Closed,CLOSED_UNIQUE,June-25,June-25
35341,AUH,AUH2496,Class C,BATTERY,TEMPERATURE SENSOR,Battery temperature sensor missing,Mohsinuddin Mohammed,MINOR,19/06/2025,09/12/2025,Closed,CLOSED_UNIQUE,June-25,December-25
80025,AUH,AUH2496,Class C,TI,TI - OTHERS,GSM Antenna weatherproffing checked done,Girish Dongra Kotharkar,MINOR,09/12/2025,09/12/2025,Closed,CLOSED_UNIQUE,December-25,December-25
6295,AUH,AUH2497,Class C,AWL,AWL BULB FAULTY,AWL standby lamp faulty(12V) not available in warehouse,Ghaias Uddin Babar,MINOR,15/11/2024,31/10/2025,Closed,CLOSED_UNIQUE,November-24,October-25
90697,AUH,AUH2497,Class C,BATTERY,TEMPERATURE SENSOR,Rectfiber battery tem alalrms not configrer at BTS,Raja Gurusamy,MAJOR,29/01/2026,,Open,KEEP_OPEN,January-26,
90696,AUH,AUH2497,Class C,DC SYSTEM,DC SYSTEM - OTHERS,Rectfiber battery tem cable removed to back panel instelled IBT1,Raja Gurusamy,MINOR,29/01/2026,29/01/2026,Closed,CLOSED_UNIQUE,January-26,January-26
262,AUH,AUH2498,Class C,CIVIL,SHELTER PADLOCK HOOK IS CUT,DELTA RECTIFIER BOTH DOOR LOCK  BROCKEN,Basit Khan,MAJOR,21/06/2024,12/02/2026,Closed,CLOSED_UNIQUE,June-24,February-26
9015,AUH,AUH2499,Class C,AIR CONDITIONING,AIR CONDITIONING - OTHERS,Both AC full rusty cooline 3 ton,Muhammad Sultan,MINOR,03/01/2025,08/04/2026,Closed,CLOSED_UNIQUE,January-25,April-26
9016,AUH,AUH2499,Class C,AIR CONDITIONING,OUTDOOR AC CONDENSER MOTOR FAULTY,Cooline 3ton AC-2 inside  condensor coil rusty,Muhammad Sultan,MAJOR,03/01/2025,03/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
98858,AUH,AUH2499,Class C,CIVIL,CIVIL - OTHERS,Both AC cooline 3 ton outdoor unit base full rusty,Muhammad Sultan Safdar Hussain,MINOR,08/04/2026,,Open,KEEP_OPEN,April-26,
98857,AUH,AUH2499,Class C,CIVIL,SHELTER BASE NEEDS REPAIRING,Shelter foundation damage,Muhammad Sultan Safdar Hussain,MINOR,08/04/2026,,Open,KEEP_OPEN,April-26,
9013,AUH,AUH2499,Class C,CIVIL,SHELTER ROOF REPAIR,Shalter full rusty,Muhammad Sultan,MINOR,03/01/2025,08/04/2026,Closed,CLOSED_UNIQUE,January-25,April-26
98856,AUH,AUH2499,Class C,CIVIL,SHELTER WALL NEEDS REPAINTING,Shelter outside rusty,Muhammad Sultan Safdar Hussain,MINOR,08/04/2026,,Open,KEEP_OPEN,April-26,
96398,AUH,AUH2501,Class C,CIVIL,BOUNDARY WALL DAMAGED,Boundary wall not installed ,Muhammad Sultan Safdar Hussain,MINOR,20/02/2026,,Open,KEEP_OPEN,February-26,
96394,AUH,AUH2501,Class C,CIVIL,SHELTER BASE NEEDS REPAIRING,shelter foundation  paint peeling off,Muhammad Sultan Safdar Hussain,MINOR,20/02/2026,,Open,KEEP_OPEN,February-26,
96393,AUH,AUH2501,Class C,CIVIL,SHELTER STEP NEEDS REPAIRING,Shelter step has  paint peeling off ,Muhammad Sultan Safdar Hussain,MINOR,20/02/2026,,Open,KEEP_OPEN,February-26,
96395,AUH,AUH2501,Class C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,structure foundation epoxy paint peeling ,Muhammad Sultan Safdar Hussain,MINOR,20/02/2026,,Open,KEEP_OPEN,February-26,
96390,AUH,AUH2501,Class C,EXTERNAL ALARMS,NOT WORKING,2G BTS swap SRAN alarms patch pending,Muhammad Sultan Safdar Hussain,MINOR,20/02/2026,,Open,KEEP_OPEN,February-26,
96392,AUH,AUH2501,Class C,MDB,LABELING MISSING,Power DB Danger sticker missing 415V ,Muhammad Sultan Safdar Hussain,MINOR,20/02/2026,20/02/2026,Closed,CLOSED_UNIQUE,February-26,February-26
42639,AUH,AUH2501,Class C,TI,TI - OTHERS,RTN fan cleaned,Muhammad Sultan Safdar Hussain,MINOR,18/07/2025,18/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
96391,AUH,AUH2501,Class C,TI,TI - OTHERS,RTN MSS8 FAN CLEANED ,Muhammad Sultan Safdar Hussain,MINOR,20/02/2026,20/02/2026,Closed,CLOSED_UNIQUE,February-26,February-26
43046,AUH,AUH2502,Class C,AIR CONDITIONING,AC COMPRESSOR FAULTY,AC1 compressor ZR36 faulty,Muhammad Sultan Safdar Hussain,MAJOR,16/07/2025,25/02/2026,Closed,CLOSED_UNIQUE,July-25,February-26
4224,AUH,AUH2502,Class C,AIR CONDITIONING,AC CONTACTOR FAULTY,Liebert 3ton AC 1 Transformer 220V to 24V faulty,Muhammad Sultan,MINOR,16/07/2025,31/10/2025,Closed,CLOSED_UNIQUE,July-25,October-25
43047,AUH,AUH2502,Class C,AIR CONDITIONING,AC GAS REFILLING,AC2 R22 GAS refill 1.5kg,Muhammad Sultan Safdar Hussain,MINOR,16/07/2025,16/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
43048,AUH,AUH2502,Class C,AIR CONDITIONING,AIR CONDITIONING - OTHERS,Liebert 3ton AC2 Transformer 220V to 24V faulty (replaced),Muhammad Sultan Safdar Hussain,MINOR,16/07/2025,16/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
96420,AUH,AUH2502,Class C,CIVIL,SHELTER BASE NEEDS REPAIRING,shelter foundation  paint peeling off,Muhammad Sultan Safdar Hussain,MINOR,25/02/2026,,Open,KEEP_OPEN,February-26,
96424,AUH,AUH2502,Class C,CIVIL,SHELTER ROOF REPAIR,Shelter outside  start of rusty ,Muhammad Sultan Safdar Hussain,MINOR,25/02/2026,,Open,KEEP_OPEN,February-26,
96426,AUH,AUH2502,Class C,CIVIL,SHELTER STEP NEEDS REPAIRING,Shelter step has  paint peeling off ,Muhammad Sultan Safdar Hussain,MINOR,25/02/2026,,Open,KEEP_OPEN,February-26,
96423,AUH,AUH2502,Class C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,structure foundation epoxy paint peeling ,Muhammad Sultan Safdar Hussain,MINOR,25/02/2026,,Open,KEEP_OPEN,February-26,
4225,AUH,AUH2502,Class C,DC SYSTEM,RECTIFIER MODULE FAULTY,VERTIV 2000E rectifier two modules  faulty,Muhammad Sultan,MINOR,10/10/2024,06/02/2026,Closed,CLOSED_UNIQUE,October-24,February-26
43045,AUH,AUH2502,Class C,SHELTER,SITE ID DAMAGED,SITE ID DU STICKER DAMAGED (REPLACED),Muhammad Sultan Safdar Hussain,MINOR,16/07/2025,16/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
113344,AUH,AUH2503,Class C,AIR CONDITIONING,AC UNIT BACK COVER INSULATION,"AC1, AC2 Liebert 3ton back cover insulation sheet damaged (Fixed)",Muhammad Sultan Safdar Hussain,MINOR,12/06/2026,12/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
113348,AUH,AUH2503,Class C,AIR CONDITIONING,INDOOR AC BLOWER MOTOR FAULTY,Liebert 3ton AC-1 Blower motor faulty (Replaced),Muhammad Sultan Safdar Hussain,MAJOR,12/06/2026,12/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
113345,AUH,AUH2503,Class C,CIVIL,BOUNDARY WALL DAMAGED,Boundary wall not installed ,Muhammad Sultan Safdar Hussain,MINOR,12/06/2026,,Open,KEEP_OPEN,June-26,
113347,AUH,AUH2503,Class C,CIVIL,SHELTER BASE NEEDS REPAIRING,shelter foundation  paint peeling off,Muhammad Sultan Safdar Hussain,MINOR,12/06/2026,,Open,KEEP_OPEN,June-26,
113343,AUH,AUH2503,Class C,CIVIL,SHELTER ROOF REPAIR,Shelter outside Roof  start of rusty ,Muhammad Sultan Safdar Hussain,MINOR,12/06/2026,,Open,KEEP_OPEN,June-26,
113346,AUH,AUH2503,Class C,CIVIL,SHELTER STEP NEEDS REPAIRING,Shelter step has  paint peeling off ,Muhammad Sultan Safdar Hussain,MINOR,12/06/2026,,Open,KEEP_OPEN,June-26,
113342,AUH,AUH2503,Class C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,structure foundation epoxy paint peeling ,Muhammad Sultan Safdar Hussain,MINOR,12/06/2026,,Open,KEEP_OPEN,June-26,
